Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
KANDIS RESIDENCE,"735,000",495.14,"1,484",Sep-25,KANDIS LINK,Resale,Strata,46.0,"15,978",-,Condominium,1,99 yrs lease commencing from 2016,27,Outside Central Region,01 to 05
SELETAR PARK RESIDENCE,"2,125,000","1,377.79","1,542",Sep-25,SELETAR ROAD,Resale,Strata,128.0,"16,602",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05
ORCHID PARK CONDOMINIUM,"1,020,000",958,"1,065",Sep-25,YISHUN STREET 81,Resale,Strata,89.0,"11,461",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,06 to 10
NORTH PARK RESIDENCES,"2,088,000","1,097.93","1,902",Sep-25,YISHUN CENTRAL 1,Resale,Strata,102.0,"20,471",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
SKIES MILTONIA,"943,000",742.72,"1,270",Sep-25,MILTONIA CLOSE,Resale,Strata,69.0,"13,667",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"625,000",387.5,"1,613",Sep-25,FERNVALE ROAD,Resale,Strata,36.0,"17,361",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,06 to 10
NORTH PARK RESIDENCES,"1,330,000",731.95,"1,817",Sep-25,YISHUN CENTRAL 1,Resale,Strata,68.0,"19,559",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"652,000",387.5,"1,683",Sep-25,FERNVALE ROAD,Resale,Strata,36.0,"18,111",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,06 to 10
EUPHONY GARDENS,"1,018,000","1,162.51",876,Sep-25,JALAN MATA AYER,Resale,Strata,108.0,"9,426",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"1,080,000",667.37,"1,618",Sep-25,FERNVALE ROAD,Resale,Strata,62.0,"17,419",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
NORTHWOOD,"1,650,000","1,334.74","1,236",Sep-25,JALAN MATA AYER,Resale,Strata,124.0,"13,306",-,Condominium,1,Freehold,27,Outside Central Region,01 to 05
H2O RESIDENCES,"1,750,000","1,130.22","1,548",Sep-25,FERNVALE LINK,Resale,Strata,105.0,"16,667",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,11 to 15
RIVERTREES RESIDENCES,"870,000",581.26,"1,497",Sep-25,FERNVALE CLOSE,Resale,Strata,54.0,"16,111",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
EUPHONY GARDENS,"2,179,000","2,454.19",888,Sep-25,JALAN MATA AYER,Resale,Strata,228.0,"9,557",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
