town,flat_type,block / building,street_name,storey,floor_area_sqm,flat_model,lease_commence_date,rental_date,property_type
"Katong, Joo Chiat, Amber Road",EXECUTIVE,THE SOUND,EAST COAST ROAD,01,141.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Macpherson, Braddell",2 ROOM,MYRA,MEYAPPA CHETTIAR ROAD,06,44.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Macpherson, Braddell",3 ROOM,SANT RITZ,PHENG GECK AVENUE,01,73.0,Condominium,2012,2025-08-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",2 ROOM,CRADELS,LORONG LIMAU,16,41.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",MANSIONETTE,WATTEN HILL,WATTEN VIEW,-,248.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,LIVINGSTON MANSIONS,LORONG L TELOK KURAU,01,189.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,MEYER RESIDENCE,MEYER PLACE,16,107.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,SILVERSEA,MARINE PARADE ROAD,11,157.0,Condominium,2007,2025-08-01,Condo / Private Apartment
"Geylang, Eunos",3 ROOM,TROPIKA EAST,FOO KIM LIN ROAD,01,68.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,FERNWOOD TOWERS,FERNWOOD TERRACE,01,111.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,EIGHT RIVERSUITES,WHAMPOA EAST,16,75.0,Condominium,2011,2025-08-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,JUI RESIDENCES,SERANGOON ROAD,16,88.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",EXECUTIVE,THE MEZZO,BALESTIER ROAD,26,151.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",3 ROOM,MONTEBLEU,MINBU ROAD,26,75.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Geylang, Eunos",3 ROOM,CASA AERATA,LORONG 26 GEYLANG,06,56.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,MODA,EAST COAST ROAD,11,71.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,FULCRUM,FORT ROAD,16,109.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,SUNNY PALMS,LORONG G TELOK KURAU,01,105.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,SKYSUITES17,JALAN RAJAH,26,57.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",1 ROOM,THE AXIS,MANDALAY ROAD,06,37.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,NATURALIS,LORONG M TELOK KURAU,01,60.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",EXECUTIVE,THE LINCOLN RESIDENCES,SURREY ROAD,16,184.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,THE SEAFRONT ON MEYER,MEYER ROAD,21,99.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,ARTHUR 118,ARTHUR ROAD,11,83.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,VERSILIA ON HAIG,IPOH LANE,11,95.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,FINLAND GARDENS,EAST COAST TERRACE,01,160.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Macpherson, Braddell",4 ROOM,8@WOODLEIGH,WOODLEIGH CLOSE,11,108.0,Condominium,2008,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,ROSE VILLE,ROSE LANE,01,112.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Macpherson, Braddell",2 ROOM,18 WOODSVILLE,WOODSVILLE CLOSE,06,46.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",MANSIONETTE,ADAM PARK CONDOMINIUM,ADAM ROAD,01,260.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,CHEN FANG MANSIONS,LORONG 33 GEYLANG,01,87.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,NINETEEN SHELFORD ROAD,SHELFORD ROAD,06,80.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",3 ROOM,GLOUCESTER MANSIONS,NEWTON ROAD,11,61.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,AALTO,MEYER ROAD,11,142.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,TREVISTA,LORONG 3 TOA PAYOH,21,103.0,Condominium,2008,2025-08-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,THE HELICONIA,JALAN DAUD,06,121.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,THE RED HOUSE,EAST COAST ROAD,01,71.0,Apartment,2012,2025-08-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,GUILLEMARD SUITES,GUILLEMARD ROAD,01,117.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",EXECUTIVE,THE ARTE,JALAN RAJA UDANG,16,130.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,LE CRESCENDO,PAYA LEBAR ROAD,06,122.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,RESIDENTIAL APARTMENTS,JOO CHIAT ROAD,01,562.2,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,SEASIDE RESIDENCES,SIGLAP LINK,16,95.0,Apartment,2016,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",1 ROOM,PARC ELEGANCE,TELOK KURAU ROAD,01,37.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,CASUARINA COVE,TANJONG RHU ROAD,11,142.0,Condominium,1993,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,M21,MANDALAY ROAD,06,99.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,ST PATRICK'S RESIDENCES,ST. PATRICK'S ROAD,01,238.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,VENTURA VIEW,RAMBUTAN ROAD,01,71.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,SUNVILLE,ST. MICHAEL'S ROAD,06,87.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,KING'S MANSION,TANJONG KATONG ROAD,21,149.0,Condominium,Freehold,2025-08-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,THE TRUMPS,JALAN KEMBANGAN,06,91.0,Condominium,2000,2025-08-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,ATRIUM RESIDENCES,LORONG 28 GEYLANG,06,95.0,Apartment,Freehold,2025-08-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",EXECUTIVE,THE TREVOSE,TREVOSE CRESCENT,01,161.0,Condominium,1996,2025-08-01,Condo / Private Apartment
"Macpherson, Braddell",4 ROOM,8@WOODLEIGH,WOODLEIGH CLOSE,01,89.0,Condominium,2008,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",1 ROOM,CENTRA STUDIOS,LORONG 25 GEYLANG,06,35.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,CASUARINA COVE,TANJONG RHU ROAD,01,136.0,Condominium,1993,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",EXECUTIVE,THOMSON 800,THOMSON ROAD,01,151.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",4 ROOM,PLATINUM EDGE,LEICESTER ROAD,01,98.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,SUITES 28,LORONG 30 GEYLANG,06,96.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",5 ROOM,CUBE 8,THOMSON ROAD,16,124.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,ASTORIA PARK,LORONG MYDIN,11,89.0,Condominium,1993,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,PAYA LEBAR RESIDENCES,PAYA LEBAR ROAD,11,121.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,CORALIS,JOO CHIAT ROAD,16,248.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",3 ROOM,MONTEBLEU,MINBU ROAD,06,79.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,THE SERENNO,HAIG ROAD,01,118.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",5 ROOM,VISTA RESIDENCES,JALAN DATOH,06,112.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,GEM RESIDENCES,LORONG 5 TOA PAYOH,01,88.0,Condominium,2015,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,LAGUNA PARK,MARINE PARADE ROAD,06,150.0,Apartment,1977,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",3 ROOM,SKY GREEN,MACPHERSON ROAD,01,74.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",5 ROOM,THE CALLISTA,MAR THOMA ROAD,01,121.0,Apartment,1882,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,SIMS MEADOWS,LORONG 33 GEYLANG,06,90.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",4 ROOM,SANT RITZ,PHENG GECK AVENUE,06,82.0,Condominium,2012,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,THE SOVEREIGN,MEYER ROAD,21,307.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",3 ROOM,D'WEAVE,LORONG 39 GEYLANG,06,51.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,WATER PLACE,TANJONG RHU ROAD,16,119.0,Condominium,1998,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",5 ROOM,THE SPINNAKER,SUFFOLK ROAD,06,128.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,TEMBELING GROVE,TEMBELING ROAD,01,54.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,CASA FORTUNA,AH HOOD ROAD,06,66.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,PALM GALLERIA,LORONG K TELOK KURAU,01,235.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",EXECUTIVE,THE LINCOLN MODERN,LINCOLN ROAD,21,131.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",EXECUTIVE,SHAW PLAZA - TWIN HEIGHTS,BALESTIER ROAD,16,132.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",EXECUTIVE,TREVISTA,LORONG 3 TOA PAYOH,26,145.0,Condominium,2008,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",5 ROOM,ONE LEICESTER,LEICESTER ROAD,01,119.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,21 SHELFORD,SHELFORD ROAD,01,81.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",2 ROOM,NESS,LORONG 32 GEYLANG,01,40.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,THE SOVEREIGN,MEYER ROAD,16,245.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,NEPTUNE COURT,MARINE VISTA,21,118.0,Apartment,1976,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",2 ROOM,PRESTIGE HEIGHTS,BALESTIER ROAD,16,40.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,ASTON LODGE,LORONG 8 GEYLANG,06,91.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,TRILIGHT,NEWTON ROAD,11,101.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,MANDARIN GARDENS,SIGLAP ROAD,21,146.0,Condominium,1982,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,SIMSVILLE,GEYLANG EAST AVENUE 2,11,91.0,Condominium,1994,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",3 ROOM,# 1 SUITES,LORONG 20 GEYLANG,06,52.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",2 ROOM,IMPERIAL HEIGHTS,IPOH LANE,01,42.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",2 ROOM,CORALIS,JOO CHIAT ROAD,01,46.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,BEACON HEIGHTS,MAR THOMA ROAD,11,99.0,Condominium,1882,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,ONAN SUITES,ONAN ROAD,01,78.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",3 ROOM,PARK 1 SUITES,LORONG 40 GEYLANG,06,56.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,OLEANDER TOWERS,LORONG 1 TOA PAYOH,11,107.0,Apartment,1995,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,L'VIV,NEWTON ROAD,06,93.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",5 ROOM,BLOSSOMS @ WOODLEIGH,WOODLEIGH CLOSE,01,111.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,PINEHURST CONDOMINIUM,LORONG L TELOK KURAU,01,121.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",1 ROOM,THE INTERWEAVE,KIM KEAT ROAD,16,36.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,GEM RESIDENCES,LORONG 5 TOA PAYOH,26,94.0,Condominium,2015,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,MINBU COURT,MINBU ROAD,01,92.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",2 ROOM,LEVENUE,LENGKONG EMPAT,06,46.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",1 ROOM,VIBES @ EAST COAST,TELOK KURAU ROAD,01,39.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,SERAYA BREEZE,SERAYA ROAD,01,93.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",2 ROOM,BLISS LOFT,KIM KEAT CLOSE,11,42.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,COSTA RHU,RHU CROSS,01,125.0,Condominium,1994,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",2 ROOM,FULCRUM,FORT ROAD,06,44.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,8M RESIDENCES,MARGATE ROAD,11,72.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",2 ROOM,REZI 35,LORONG 35 GEYLANG,01,42.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,SUNFLOWER VIEW,LORONG 36 GEYLANG,06,95.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,ST MICHAEL REGENCY,ST. MICHAEL'S ROAD,11,86.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,FYVE DERBYSHIRE,DERBYSHIRE ROAD,06,87.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,GARDEN PARK RESIDENCES,LORONG M TELOK KURAU,01,115.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,ASTON MANSIONS,LORONG 42 GEYLANG,01,114.0,Apartment,1995,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,DE PARADISO,MARTABAN ROAD,06,105.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",EXECUTIVE,THE SCENIC @ BRADDELL,BRADDELL ROAD,01,144.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,APLETON VIEW,SINARAN DRIVE,11,98.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",EXECUTIVE,BLISS VILLE,LORONG MELAYU,01,154.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",4 ROOM,SKY GREEN,MACPHERSON ROAD,06,96.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,ONE AMBER,AMBER GARDENS,21,111.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,SEASIDE RESIDENCES,SIGLAP LINK,21,63.0,Apartment,2016,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,LEGENDA AT JOO CHIAT,JOO CHIAT LANE,01,114.0,Condominium,2001,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,06,108.0,Apartment,2015,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",5 ROOM,DOMUS,IRRAWADDY ROAD,21,127.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,SPRING @ LANGSAT,LANGSAT ROAD,01,90.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,RIVIERA 38,MAR THOMA ROAD,16,51.0,Apartment,1882,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,HAIG COURT,HAIG ROAD,11,134.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",5 ROOM,THE RICHMOND,ST. MICHAEL'S ROAD,01,116.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",2 ROOM,BARTLEY RIDGE,MOUNT VERNON ROAD,16,43.0,Condominium,2012,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,PARK EAST,JALAN TUA KONG,06,188.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,EVERGREEN VIEW,LORONG 36 GEYLANG,06,80.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",2 ROOM,OKIO,BALESTIER ROAD,11,40.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,THE ESTA,AMBER GARDENS,01,122.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,SIMS GREEN,LORONG 27A GEYLANG,01,115.0,Apartment,2001,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,THE SOVEREIGN,MEYER ROAD,01,245.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,CANDEVILLE,LORONG M TELOK KURAU,01,113.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,ST PATRICK'S COURT,ST. PATRICK'S ROAD,01,140.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,OCEAN PARK,EAST COAST ROAD,16,196.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",3 ROOM,NEWTON SUITES,NEWTON ROAD,31,74.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,THE MEYERISE,MEYER ROAD,06,122.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",2 ROOM,SIGLAP V,FIRST STREET,01,48.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,SUNSHINE MANSIONS,JOO CHIAT PLACE,01,73.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Macpherson, Braddell",3 ROOM,SENNETT RESIDENCE,PHENG GECK AVENUE,11,79.0,Condominium,2011,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",5 ROOM,APLETON VIEW,SINARAN DRIVE,01,112.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",EXECUTIVE,TREVISTA,LORONG 3 TOA PAYOH,06,158.0,Condominium,2008,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",EXECUTIVE,DAKOTA RESIDENCES,DAKOTA CRESCENT,01,170.0,Condominium,2007,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,SEASIDE RESIDENCES,SIGLAP LINK,11,117.0,Apartment,2016,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,KING'S MANSION,AMBER ROAD,11,254.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,CRADELS,LORONG LIMAU,06,62.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",3 ROOM,ARENA RESIDENCES,GUILLEMARD CRESCENT,06,75.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",EXECUTIVE,THE LINCOLN RESIDENCES,SURREY ROAD,06,171.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",5 ROOM,MONTEBLEU,MINBU ROAD,16,114.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,SUNFLOWER RESIDENCE,LORONG 32 GEYLANG,01,99.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,EMERY POINT,IPOH LANE,01,122.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",5 ROOM,1 MOULMEIN RISE,MOULMEIN RISE,21,115.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",1 ROOM,SILVERSCAPE,LORONG 32 GEYLANG,01,38.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,TRILIGHT,NEWTON ROAD,26,101.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,THE SUNNIDORA,LORONG G TELOK KURAU,01,80.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,VERTICUS,JALAN KEMAMAN,11,72.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,THE GRANDIFLORA,LORONG L TELOK KURAU,01,74.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",5 ROOM,AVA TOWERS,AVA ROAD,16,114.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,POH HENG COURT,WOO MON CHEW ROAD,01,158.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,THE BELVEDERE,MEYER ROAD,11,127.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",EXECUTIVE,EASTPAC BUILDING,BALESTIER ROAD,01,184.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",MANSIONETTE,SKY@ELEVEN,THOMSON LANE,36,252.0,Condominium,Freehold,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,AMARYLLIS VILLE,NEWTON ROAD,06,89.0,Condominium,1997,2025-07-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,G RESIDENCES,LORONG G TELOK KURAU,01,73.0,Apartment,Freehold,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,CENTRAL GROVE,GEYLANG EAST AVENUE 1,06,95.0,Condominium,1997,2025-07-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",5 ROOM,ROCHELLE AT NEWTON,KENG LEE ROAD,06,126.0,Condominium,2008,2025-07-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,RIVERBAY,MAR THOMA ROAD,11,61.0,Apartment,1882,2025-07-01,Condo / Private Apartment
"Geylang, Eunos",EXECUTIVE,RESIDENTIAL APARTMENTS,GUILLEMARD ROAD,01,154.3,Apartment,1963,2025-07-01,Condo / Private Apartment
